ZipCode;Latitude;Longitude;State;StateFullName;City
01092;42.202417;-72.221696;MA;Massachusetts;West Warren
01093;42.4399;-72.6353;MA;Massachusetts;Whately
01094;42.3517;-72.1405;MA;Massachusetts;Wheelwright
01095;42.134675;-72.432176;MA;Massachusetts;Wilbraham
01096;42.436118;-72.770062;MA;Massachusetts;Williamsburg
01097;42.1594;-72.8751;MA;Massachusetts;Woronoco
01098;42.390244;-72.947238;MA;Massachusetts;Worthington
01101;42.105696;-72.598079;MA;Massachusetts;Springfield
01102;42.1015;-72.5905;MA;Massachusetts;Springfield
01103;42.103366;-72.590557;MA;Massachusetts;Springfield
01104;42.12954;-72.569176;MA;Massachusetts;Springfield
01105;42.100995;-72.581566;MA;Massachusetts;Springfield
01106;42.05056;-72.565884;MA;Massachusetts;Longmeadow
01107;42.121306;-72.60891;MA;Massachusetts;Springfield
01108;42.08114;-72.557783;MA;Massachusetts;Springfield
01109;42.118748;-72.549032;MA;Massachusetts;Springfield
01111;42.1015;-72.5905;MA;Massachusetts;Springfield
01115;42.1015;-72.5905;MA;Massachusetts;Springfield
01116;42.0647;-72.5131;MA;Massachusetts;Longmeadow
01118;42.095584;-72.524304;MA;Massachusetts;Springfield
01119;42.122508;-72.511518;MA;Massachusetts;Springfield
01128;42.095804;-72.485598;MA;Massachusetts;Springfield
01129;42.120974;-72.487872;MA;Massachusetts;Springfield
01138;42.1015;-72.5905;MA;Massachusetts;Springfield
01139;42.1015;-72.5905;MA;Massachusetts;Springfield
01144;42.1032;-72.5916;MA;Massachusetts;Springfield
01151;42.151278;-72.510524;MA;Massachusetts;Indian Orchard
01151;42.151278;-72.510524;MA;Massachusetts;Springfield
01152;42.1028;-72.5921;MA;Massachusetts;Springfield
01199;42.1015;-72.5905;MA;Massachusetts;Springfield
01201;42.466531;-73.289364;MA;Massachusetts;Pittsfield
01202;42.4501;-73.2456;MA;Massachusetts;Pittsfield
01203;42.4501;-73.2456;MA;Massachusetts;Pittsfield
01220;42.627128;-73.11869;MA;Massachusetts;Adams
01222;42.065432;-73.316479;MA;Massachusetts;Ashley Falls
01223;42.324078;-73.130876;MA;Massachusetts;Becket
01224;42.503468;-73.202113;MA;Massachusetts;Berkshire
01225;42.558246;-73.147934;MA;Massachusetts;Cheshire
01226;42.47662;-73.146709;MA;Massachusetts;Dalton
01227;42.4739;-73.1667;MA;Massachusetts;Dalton
01229;42.2836;-73.3445;MA;Massachusetts;Glendale
01230;42.171162;-73.330261;MA;Massachusetts;Great Barrington
01235;42.3959;-73.076287;MA;Massachusetts;Hinsdale
01236;42.263088;-73.383452;MA;Massachusetts;Housatonic
01237;42.560748;-73.244402;MA;Massachusetts;Lanesboro
01238;42.287955;-73.206905;MA;Massachusetts;Lee
01240;42.366471;-73.271106;MA;Massachusetts;Lenox
01242;42.339438;-73.246692;MA;Massachusetts;Lenox Dale
01243;42.348104;-73.002747;MA;Massachusetts;Middlefield
01244;42.137294;-73.195265;MA;Massachusetts;Mill River
01245;42.179822;-73.196867;MA;Massachusetts;Monterey
01247;42.695558;-73.087992;MA;Massachusetts;North Adams
01252;42.1967;-73.4386;MA;Massachusetts;North Egremont
01253;42.195522;-73.094484;MA;Massachusetts;Otis
